create_time,count_long_short_ratio,count_toptrader_long_short_ratio,sum_open_interest,sum_open_interest_value,sum_taker_long_short_vol_ratio,sum_toptrader_long_short_ratio
2023-10-31 23:55:00,1.59616613,1.48181818,3464895.0,7966155.4093359,0.90871882,1.04424481
2023-11-01 23:55:00,1.33684211,1.22030387,7612587.0,19457772.372,1.50888089,0.81070313
2023-11-02 23:55:00,1.82478823,1.67309175,8202124.0,19665850.16773664,1.19356637,0.85960211
2023-11-03 23:55:00,2.07346939,1.6291699,8122994.0,19487062.606,3.32128607,0.93954315
2023-11-04 23:55:00,1.94048257,1.5570523,8447752.0,20439335.964,1.9517369,1.04421666
2023-11-05 23:55:00,2.20526961,1.82718272,7905056.0,18283610.82074816,0.59221503,1.08266003
2023-11-06 23:55:00,2.40568475,1.78914591,8124368.0,19186339.05065136,1.17185068,1.08511549
2023-11-07 23:55:00,2.19480519,1.72614841,7827519.0,18294033.35164713,0.99113831,1.15550362
2023-11-08 23:55:00,1.9822195,1.6327212,7627267.0,18119150.75279326,2.70293442,1.08530677
2023-11-09 23:55:00,2.23277592,1.58041958,7503960.0,18461884.8810552,0.62847817,1.18240349
2023-11-10 23:55:00,1.31548117,1.22132254,8092501.0,25326291.1296,1.45468577,1.18691716
2023-11-11 23:55:00,0.63187104,0.7986618,9395662.0,37194723.00791246,0.90481026,1.27263978
2023-11-12 23:55:00,0.56745718,0.62755234,9204233.0,42773382.99849881,0.66123032,1.18615243
2023-11-13 23:55:00,0.68388684,0.79056604,8433998.0,37946081.61581846,0.71255054,1.19810242
2023-11-14 23:55:00,0.53997772,0.54071938,8783233.0,53101545.17382674,1.21510496,1.07953389
2023-11-15 23:55:00,0.72492775,0.74352651,8013335.0,46814810.0192553,1.12117417,1.17097638
2023-11-16 23:55:00,0.81744479,0.84396467,7826364.0,44870110.0848,1.25841175,1.27690525
2023-11-17 23:55:00,0.55182694,0.51606288,9684591.0,67436126.97992814,1.18748768,1.23765137
2023-11-18 23:55:00,0.47857948,0.53215223,9455391.0,67315765.1463,1.09800905,1.21560529
2023-11-19 23:55:00,0.62547771,0.65673032,9323656.0,63583194.96262848,0.81183243,1.24427244
2023-11-20 23:55:00,0.85161014,0.77103794,9540684.0,57569441.3244,1.26518569,1.29207907
2023-11-21 23:55:00,1.18186844,1.0069378,8967313.0,46275637.95546992,0.717323,1.20698512
2023-11-22 23:55:00,0.81202575,0.69672637,8388729.0,51149194.69309209,1.43060977,0.99718742
2023-11-23 23:55:00,1.20645922,1.13870542,7762820.0,43790446.6008724,0.96940334,1.09905531
2023-11-24 23:55:00,1.50078302,1.11424802,7543331.0,41779890.30841046,0.93374855,1.14601631
2023-11-25 23:55:00,1.17209162,0.99527246,7617142.0,45289766.61985516,0.85888165,1.14287731
2023-11-26 23:55:00,1.6315475,1.28613832,7231210.0,39373927.9647455,0.61655397,1.23456361
2023-11-27 23:55:00,0.96759941,0.83669065,7800490.0,46053428.0462324,0.94841312,1.19358687
2023-11-28 23:55:00,0.64879611,0.67642033,8057134.0,50143573.449,1.00949763,1.15460351
2023-11-29 23:55:00,0.85718755,0.88226018,7655725.0,46222803.40179425,0.93132394,1.27864798
2023-11-30 23:55:00,0.66694946,0.70014897,7964334.0,50515182.31273668,1.14293769,1.21645118
2023-12-01 23:55:00,0.48355462,0.49222497,9060644.0,64244706.0359086,1.50468652,1.07798768
2023-12-02 23:55:00,0.52086576,0.48850046,8586757.0,76578391.11820199,1.07931573,1.04123309
2023-12-03 23:55:00,0.61533176,0.69347711,8065330.0,68933568.977,0.91799189,1.07612971
2023-12-04 23:55:00,0.90771622,0.87720488,7272631.0,64662416.7472,1.9280097,1.08893069
2023-12-05 23:55:00,0.81048229,0.81862312,7265477.0,74068631.8242,0.5723421,1.07404251
2023-12-06 23:55:00,1.06304444,1.09037975,6804169.0,65314296.89591157,0.87155351,1.1177889
2023-12-07 23:55:00,1.48106119,1.21116103,7310376.0,69556034.5272,0.71830475,1.05537289
2023-12-08 23:55:00,1.79717211,1.43670265,6859342.0,63789905.24669084,0.93429868,1.03487498
2023-12-09 23:55:00,2.05853327,1.61330935,6962728.0,64903623.21552152,1.38757436,1.04206996
2023-12-10 23:55:00,1.74426379,1.30329523,6889122.0,67718002.5234,1.22470312,1.04262335
2023-12-11 23:55:00,0.97494253,0.99755601,7169954.0,77734158.52802841,0.66252149,1.03430462
2023-12-12 23:55:00,0.84797947,0.96417751,6402616.0,77734715.25851944,0.84757493,0.99509704
2023-12-13 23:55:00,1.13931889,1.1378866,5651071.0,68544100.5874,1.04564248,1.0191803
2023-12-14 23:55:00,1.0545225,1.11905252,5455897.0,76112160.36202386,1.05113143,1.04399688
2023-12-15 23:55:00,1.22588727,1.29971388,5214914.0,67861775.27826084,0.77269225,1.08215511
2023-12-16 23:55:00,1.62637363,1.47613249,5168557.0,67370312.01459011,1.45131017,1.04077704
2023-12-17 23:55:00,1.44552945,1.32315341,4997469.0,63713232.0279,1.22236362,1.0486825
2023-12-18 23:55:00,1.79377859,1.52187919,4876366.0,62238197.98698832,1.20450573,0.98851319
2023-12-19 23:55:00,2.2176919,1.76438849,4926294.0,57828632.9573241,1.22252665,1.02496852
2023-12-20 23:55:00,1.56512706,1.25523499,4786833.0,62612875.07980344,0.9564582,0.99794708
2023-12-21 23:55:00,2.07229981,1.63258056,4945220.0,63521350.9,1.0105175,1.03248288
2023-12-22 23:55:00,2.58447573,2.00840778,5231073.0,65101858.66285059,1.45201542,1.04559307
2023-12-23 23:55:00,2.28592675,1.88429752,4876404.0,60053402.9004,0.65735064,1.06112925
2023-12-24 23:55:00,1.41567912,1.3857806,4453758.0,63258187.4881272,0.65820896,1.05926489
2023-12-25 23:55:00,2.06611121,1.76337503,4446107.0,61222268.93427185,1.19943155,1.07569813
2023-12-26 23:55:00,2.35730246,2.03125,4348225.0,55506387.1133695,0.88333646,1.14229844
2023-12-27 23:55:00,2.43990433,1.92774725,4674882.0,59219535.2232,1.44823581,1.10119939
2023-12-28 23:55:00,2.71419689,2.18268124,4727748.0,56010871.25890764,0.86998326,1.11938547
2023-12-29 23:55:00,2.68885226,2.00524427,4719156.0,58366997.05173324,1.25501761,1.10281174
2023-12-30 23:55:00,2.88010483,2.22320117,4599759.0,54807968.3886,1.14227797,1.11904901
2023-12-31 23:55:00,2.81034876,2.13938316,4634047.0,54930602.9239,1.03995844,1.13946529
2024-01-01 23:55:00,1.79268293,1.41617502,4681114.0,65314179.3078,0.63534972,1.1303972
2024-01-02 23:55:00,2.21747449,2.02220851,4521429.0,57758994.7605,1.36512051,1.22012638
2024-01-03 23:55:00,1.88992079,1.63517915,3512151.0,42802166.01005892,1.30853873,1.07611189
2024-01-04 23:55:00,1.08930629,1.12234043,4416174.0,68888773.5116868,0.69473217,1.20026043
2024-01-05 23:55:00,1.38331222,1.38520408,3918229.0,60813752.24917615,1.43669644,1.1442055
2024-01-06 23:55:00,2.04498849,1.96133683,3897444.0,55709815.2944562,1.43599067,1.1058245
2024-01-07 23:55:00,2.07790463,1.80991197,3735293.0,53686992.7597,1.14967626,1.08278245
2024-01-08 23:55:00,2.14546351,1.62369792,3588892.0,50630293.89,0.79354637,1.01110285
2024-01-09 23:55:00,1.39010162,1.51477987,3953034.0,58991986.3645467,1.08517558,1.16880565
2024-01-10 23:55:00,1.6234375,1.50635386,3553097.0,57602523.14371799,1.08645127,1.06951998
2024-01-11 23:55:00,1.86701434,1.68913858,3449940.0,55235954.358,0.95750612,1.12757668
2024-01-12 23:55:00,1.71971407,1.68287037,3437307.0,56555318.9351214,1.0440172,1.08080257
2024-01-13 23:55:00,0.94503078,1.00434783,4086780.0,75376084.1157834,0.79821249,1.07043278
2024-01-14 23:55:00,1.10555315,1.23425645,3806595.0,68753023.432587,0.73612543,1.10418666
2024-01-15 23:55:00,1.25020951,1.15819948,3922238.0,74651563.6302,0.89897689,0.97226434
2024-01-16 23:55:00,1.20599073,1.21425789,3848387.0,72401723.72572342,0.9096137,0.9799621
2024-01-17 23:55:00,1.51666667,1.44458988,3575823.0,64869720.2076,0.94455435,1.03056339
2024-01-18 23:55:00,1.91352346,1.69448147,3460743.0,58481019.5112,1.00249004,1.02445758
2024-01-19 23:55:00,1.61311173,1.46011132,3436022.0,61147247.8791218,1.37090424,0.96871984
2024-01-20 23:55:00,1.88131467,1.57792568,3375543.0,59514873.7416,1.26200194,0.96067233
2024-01-21 23:55:00,2.07821342,1.66324047,3415768.0,57390633.40970808,0.67739961,0.96082551
2024-01-22 23:55:00,2.16722973,1.82269504,3348999.0,51066356.55346521,1.06212887,1.03584448
2024-01-23 23:55:00,1.93653121,1.51579779,3489485.0,57125934.2646755,1.37459403,1.02605635
2024-01-24 23:55:00,1.74389793,1.47433628,3530558.0,57742982.2016,1.15026592,0.997283
2024-01-25 23:55:00,1.68866771,1.40658845,3425295.0,51868899.6555,0.5449235,0.98881574
