create_time,count_long_short_ratio,count_toptrader_long_short_ratio,sum_open_interest,sum_open_interest_value,sum_taker_long_short_vol_ratio,sum_toptrader_long_short_ratio
2022-01-01 23:55:00,,,7336970.1,34698866.59363432,,
2022-01-02 23:55:00,,,7265563.7,33901120.2242,,
2022-01-03 23:55:00,,,7301019.0,34973704.65852582,,
2022-01-04 23:55:00,,,8859169.0,44268686.15433022,,
2022-01-05 23:55:00,,,7858189.5,35581882.056,,
2022-01-06 23:55:00,,,8447348.9,37551661.23916841,,
2022-01-07 23:55:00,,,8167677.3,34746500.78120761,,
2022-01-08 23:55:00,,,7770805.3,31176470.8636,,
2022-01-09 23:55:00,,,7710465.6,32569006.6944,,
2022-01-10 23:55:00,,,7910557.6,31811301.32368443,,
2022-01-11 23:55:00,,,7757800.7,32356957.56596119,,
2022-01-12 23:55:00,,,7888275.0,34521638.050701,,
2022-01-13 23:55:00,,,7563766.0,31127682.14427886,,
2022-01-14 23:55:00,,,7891894.2,33817353.96176636,,
2022-01-15 23:55:00,,,7893836.0,33788548.2719232,,
2022-01-16 23:55:00,,,7987836.2,34319865.95880084,,
2022-01-17 23:55:00,,,7982060.3,32328475.51240632,,
2022-01-18 23:55:00,,,8314600.5,34147534.61344815,,
2022-01-19 23:55:00,3.300035423308537,,8260895.7,32093579.7945,,
2022-01-20 23:55:00,4.305135951661631,,8062611.6,29731661.54206404,,
2022-01-21 23:55:00,3.514720314033366,,7922904.1,26272349.9956,,
2022-01-22 23:55:00,3.822028206850235,,7103303.3,20869505.0954,,
2022-01-23 23:55:00,3.6668738346799254,,6986013.1,21433088.1908,,
2022-01-24 23:55:00,3.093103448275862,,6891333.7,20508609.0912,,
2022-01-25 23:55:00,2.5995348837209304,,6971042.2,20360965.75334126,,
2022-01-26 23:55:00,2.4908003679852806,,6674084.4,19595336.98200766,,
2022-01-27 23:55:00,2.7809099901088032,,6408708.3,18681384.6945,,
2022-01-28 23:55:00,2.474706413730804,,6114861.3,18492876.86895301,,
2022-01-29 23:55:00,2.4001751313485116,,6079969.3,18756705.2905,,
2022-01-30 23:55:00,2.22551929,2.19482229,6313040.3,20649954.8213,1.239127,0.93557462
2022-01-31 23:55:00,1.571784490812831,,6007708.8,20931655.16277446,,
2022-02-01 23:55:00,1.2511991921232013,,6663569.7,24961732.0962,,
2022-02-02 23:55:00,1.1304545454545454,,7074606.5,26189124.14846572,,
2022-02-03 23:55:00,1.027413587604291,,8071120.7,30750969.867,,
2022-02-04 23:55:00,1.259297952361053,,7509896.7,30116623.3203486,,
2022-02-05 23:55:00,1.4256007393715342,,7977815.9,31295258.06106652,,
2022-02-06 23:55:00,1.5875779625779627,,6645972.4,26032273.8908,,
2022-02-07 23:55:00,1.383023316740896,,6525862.7,26952282.87837303,,
2022-02-08 23:55:00,1.1387481910274964,,7892909.2,34791943.7536,,
2022-02-09 23:55:00,1.1916916916916918,,8270070.7,36776311.28827463,,
2022-02-10 23:55:00,2.0039042165538783,,6859424.3,28343141.2076,,
2022-02-11 23:55:00,1.3030236634531114,,6521655.9,27989873.98432165,,
2022-02-12 23:55:00,1.3357487922705313,,6694069.3,27351967.1598,,
2022-02-13 23:55:00,1.7638100154878678,,6754662.3,26156309.96883391,,
2022-02-14 23:55:00,1.4397867700508844,,6077549.6,23961086.56918414,,
2022-02-15 23:55:00,1.2961849710982658,,5982857.8,24810911.2966,,
2022-02-16 23:55:00,1.9298450745396083,,5902276.2,23886511.7814,,
2022-02-17 23:55:00,2.2349356804333107,,5454718.4,20013361.8096,,
2022-02-18 23:55:00,2.202970297029703,,5291938.8,19189979.75545754,,
2022-02-19 23:55:00,2.270825550989914,,5377846.8,19396987.4017496,,
2022-02-20 23:55:00,3.0022716946842345,,5571442.3,18168143.39948699,,
2022-02-21 23:55:00,3.469007131102578,,5868064.9,17334263.7146,,
2022-02-22 23:55:00,3.5007407407407407,,7965968.3,24432602.20041041,,
2022-02-23 23:55:00,2.8694112439132358,,7430744.6,21937601.36535011,,
2022-02-24 23:55:00,2.5440783615316116,,7124023.3,21489833.49592042,,
2022-02-25 23:55:00,2.0444689452407205,,6904074.2,22155174.1078,,
2022-02-26 23:55:00,1.2728002139609522,,6301574.3,21482066.7887,,
2022-02-27 23:55:00,2.528428093645485,,5820882.3,18109946.00873632,,
2022-02-28 23:55:00,1.3721702384545729,,5810155.1,20474986.5724,,
2022-03-01 23:55:00,1.54586129753915,,5066108.9,17657800.83235313,,
2022-03-02 23:55:00,1.6456599286563616,,5227667.4,18218420.889,,
2022-03-03 23:55:00,1.6281070745697896,,5212061.1,17679311.2512,,
2022-03-04 23:55:00,2.513163393230255,,5361508.1,16475914.3913,,
2022-03-05 23:55:00,1.964026402640264,,5429075.4,17070455.50864303,,
2022-03-06 23:55:00,2.4227642276422765,,5579308.5,16564899.48266024,,
2022-03-07 23:55:00,2.486810551558753,,0.0,0.0,,
2022-03-08 23:55:00,2.279748706577975,,5938656.4,17827846.5128,,
