create_time,count_long_short_ratio,count_toptrader_long_short_ratio,sum_open_interest,sum_open_interest_value,sum_taker_long_short_vol_ratio,sum_toptrader_long_short_ratio
2022-01-01 23:55:00,,,2649086.32,95751225.0364,,
2022-01-02 23:55:00,,,2240963.47,79729277.22356384,,
2022-01-03 23:55:00,,,2647626.62,104139656.30834296,,
2022-01-04 23:55:00,,,2685895.99,112914757.27919003,,
2022-01-05 23:55:00,,,2350227.6,91511159.68336432,,
2022-01-06 23:55:00,,,2209924.59,89085899.92267664,,
2022-01-07 23:55:00,,,2816843.36,108261989.03390248,,
2022-01-08 23:55:00,,,2528929.43,91052873.44893219,,
2022-01-09 23:55:00,,,2457217.99,85865025.44256,,
2022-01-10 23:55:00,,,2495108.33,94428119.089567,,
2022-01-11 23:55:00,,,2395551.3,92759068.15116566,,
2022-01-12 23:55:00,,,2525765.52,101310980.77272,,
2022-01-13 23:55:00,,,2477491.18,93135710.59525563,,
2022-01-14 23:55:00,,,2549297.22,103300530.1484991,,
2022-01-15 23:55:00,,,2525174.55,99069979.7675347,,
2022-01-16 23:55:00,,,2951783.81,128308228.62345053,,
2022-01-17 23:55:00,,,2600347.5,101671119.000153,,
2022-01-18 23:55:00,,,2559433.47,98179867.9092,,
2022-01-19 23:55:00,2.1641615089890953,,2439709.76,90468419.01918636,,
2022-01-20 23:55:00,1.243002544529262,,2792745.8,108916382.17671128,,
2022-01-21 23:55:00,1.961961961961962,,2546441.9,87612880.0114,,
2022-01-22 23:55:00,1.9715942028985507,,2398169.15,69678804.65325,,
2022-01-23 23:55:00,1.0825561312607945,,2518168.27,86859178.13711,,
2022-01-24 23:55:00,0.7162183797630484,,3065590.8,110045512.9476,,
2022-01-25 23:55:00,0.8365180467091295,,2948256.68,105599864.38836741,,
2022-01-26 23:55:00,1.575973154362416,,2712522.98,87365103.86772707,,
2022-01-27 23:55:00,2.3348705214615113,,2884140.4,86907802.6732,,
2022-01-28 23:55:00,2.2186924493554327,,3097967.47,91405530.20235,,
2022-01-29 23:55:00,2.366097325169191,,3120001.5,90551803.5345,,
2022-01-30 23:55:00,2.57924559,2.46377749,3198954.88,86785912.66865647,1.96084782,0.88117883
2022-01-31 23:55:00,1.8793899538267804,,3047972.84,85577933.42868,,
2022-02-01 23:55:00,1.8320841741135774,,3024929.24,87515786.67922525,,
2022-02-02 23:55:00,2.7028742067935796,,3090880.05,80909967.06885,,
2022-02-03 23:55:00,1.1877535964588712,,3290166.59,96832892.91029,,
2022-02-04 23:55:00,1.1265171775354865,,3037888.39,94286941.96043,,
2022-02-05 23:55:00,1.4313654473017023,,2933680.48,90237077.88432,,
2022-02-06 23:55:00,1.410477299185099,,2764752.67,86467639.75425,,
2022-02-07 23:55:00,1.5377969762419006,,2775927.92,88203970.08407028,,
2022-02-08 23:55:00,2.1819973718791066,,2824958.15,85955496.19547331,,
2022-02-09 23:55:00,2.0231683466225365,,2811034.39,86914372.30441,,
2022-02-10 23:55:00,2.891374489137449,,2682458.48,77938831.1364,,
2022-02-11 23:55:00,3.511151928627657,,2799986.8,74121250.5696,,
2022-02-12 23:55:00,3.6702465218452525,,2847589.71,76601425.934181,,
2022-02-13 23:55:00,4.156662515566625,,2898163.42,76317453.49724987,,
2022-02-14 23:55:00,2.9310881837648433,,2829139.72,76860395.04264356,,
2022-02-15 23:55:00,2.217907410547736,,2538239.14,73365264.10256,,
2022-02-16 23:55:00,2.359572573463936,,2389620.92,68094637.73632,,
2022-02-17 23:55:00,2.1035651149086623,,2691641.14,75057178.39555968,,
2022-02-18 23:55:00,2.7571401188422464,,2504234.12,67379834.19796583,,
2022-02-19 23:55:00,3.246775216747727,,2531440.98,67559096.87424,,
2022-02-20 23:55:00,3.1738636363636363,,2707078.74,70700775.45258,,
2022-02-21 23:55:00,2.997561516293505,,2542881.13,60215526.74650114,,
2022-02-22 23:55:00,2.465466640579143,,2444810.44,60692908.99077165,,
2022-02-23 23:55:00,1.66724039,1.84272818,2555169.88,64482267.09168,1.45604567,1.02267863
2022-02-24 23:55:00,1.9515765765765767,,2466812.92,61426919.51033558,,
2022-02-25 23:55:00,1.1987455899647197,,2582728.62,70308861.87421843,,
2022-02-26 23:55:00,0.7751324976865483,,2930869.8,87410260.9152,,
2022-02-27 23:55:00,1.581888246628131,,2747279.46,73366712.76549757,,
2022-02-28 23:55:00,1.0109849419896322,,2499692.02,79028034.10392421,,
2022-03-01 23:55:00,1.099106513049612,,2617724.23,81432165.34684,,
2022-03-02 23:55:00,0.9261673151750973,,2722279.13,87713698.19369009,,
2022-03-03 23:55:00,0.7649596110109012,,3090783.14,105507229.43114664,,
2022-03-04 23:55:00,1.080977924489375,,2895305.13,88136183.9911633,,
2022-03-05 23:55:00,1.3701817339969904,,2700961.02,83747288.5265164,,
2022-03-06 23:55:00,1.9655172413793103,,2687023.53,75459796.9588185,,
2022-03-07 23:55:00,1.597079502433748,,0.0,0.0,,
2022-03-08 23:55:00,1.88580157113762,,2530237.73,70343139.13173,,
2022-03-09 23:55:00,1.3430310407790627,,2524407.17,75934167.6736,,
