create_time,count_long_short_ratio,count_toptrader_long_short_ratio,sum_open_interest,sum_open_interest_value,sum_taker_long_short_vol_ratio,sum_toptrader_long_short_ratio
2024-09-13 23:05:00,5.46808511,4.60233918,19704220.0,8211058.0272962,0.632987,1.772526
2024-09-14 01:25:00,5.13722628,4.66,18628952.0,7848763.65577496,0.714554,2.135841
2024-09-15 23:55:00,5.60176991,5.06345733,24726918.0,9618744.39692856,1.035042,1.783819
2024-09-16 23:55:00,6.07801418,5.15873016,25983047.0,9758135.70878613,0.876954,2.191811
2024-09-17 23:55:00,5.73677069,4.59063136,26870564.0,10246483.11277052,1.082639,2.186194
2024-09-18 23:55:00,5.89502762,4.81744422,27587214.0,10754332.73740062,1.042835,2.357107
2024-09-19 23:55:00,4.31285552,4.47316103,28819887.0,11495311.37859171,0.567221,2.198577
2024-09-20 23:55:00,3.77249224,3.53858521,26655893.0,10693861.26681884,5.648859,2.491295
2024-09-21 23:55:00,3.1714032,2.99863014,28482566.0,11717641.06539936,1.699459,2.500525
2024-09-22 23:55:00,3.11706881,2.95945946,28090862.0,11257333.73026916,1.678191,2.716798
2024-09-23 23:55:00,3.77646063,3.1953125,31514235.0,12791627.9865,1.244581,2.702615
2024-09-24 23:55:00,3.7361809,3.17974684,32151224.0,13153065.7384,0.982528,3.226534
2024-09-25 23:55:00,3.11179645,2.82096584,32717093.0,13391616.87872173,0.73206,3.111533
2024-09-26 23:55:00,2.09044658,2.02690583,35093836.0,14942955.3688,0.955021,2.789597
2024-09-27 23:55:00,2.17488532,2.02761001,34594083.0,15003453.7971,1.850195,2.777961
2024-09-28 23:55:00,1.93240454,1.81984733,34550255.0,14650301.43983125,0.459453,2.767356
2024-09-29 23:55:00,1.95881126,1.77174721,36441081.0,15350263.85678634,0.583642,2.750482
2024-09-30 23:55:00,2.04991948,1.87256372,34944198.0,13837001.54657556,0.431875,2.44314
2024-10-01 23:55:00,1.87834152,1.62365591,34036745.0,12791008.771,0.699849,1.882517
2024-10-02 23:55:00,2.14671362,1.75698113,33487803.0,12495997.1309121,0.975349,1.928467
2024-10-03 23:55:00,2.11758119,1.8496124,36189510.0,13596905.56014,0.908815,2.022954
2024-10-04 23:55:00,2.16292135,1.82299546,35819571.0,13752408.12543189,1.386131,2.138975
2024-10-05 23:55:00,2.32063306,2.08709942,35889911.0,13616632.2334,1.92125,2.235443
2024-10-06 23:55:00,2.42678571,2.09884679,38443645.0,14716227.306,1.289765,2.283547
2024-10-07 23:55:00,2.76694329,2.54473943,38074261.0,14246837.15090072,0.525876,2.635907
2024-10-08 23:55:00,2.732155,2.44165863,40883693.0,15393631.93294022,0.172414,2.440888
2024-10-09 23:55:00,3.03915881,2.83544304,40653134.0,14912567.17910836,0.746278,2.456357
2024-10-10 23:55:00,2.99223712,2.65895372,39722660.0,14641772.476,1.247965,2.258666
2024-10-11 23:55:00,3.14926419,2.77654196,41794224.0,15611139.87418464,1.559144,2.267545
2024-10-12 23:55:00,3.31220177,3.11458333,44133217.0,16409374.86690037,4.468997,2.480052
2024-10-13 23:55:00,3.31528046,2.94166667,49211204.0,18029152.52036304,0.921942,2.22298
2024-10-14 23:55:00,3.42602378,2.96303318,51450549.0,19350551.4789,0.444927,2.299851
2024-10-15 23:55:00,3.38782263,3.12695313,52160222.0,19341925.7294961,0.422313,2.556813
